e = 0.4000, h = 0.0000, 1 significant voxels
e = 0.5000, h = 0.1000, 308 significant voxels
e = 0.5000, h = 0.2000, 219 significant voxels
e = 0.5000, h = 0.0000, 390 significant voxels
e = 0.5000, h = 0.3000, 169 significant voxels
e = 0.5000, h = 0.4000, 121 significant voxels
e = 0.5000, h = 0.6000, 34 significant voxels
e = 0.5000, h = 0.7000, 12 significant voxels
e = 0.5000, h = 0.8000, 2 significant voxels
e = 0.5000, h = 0.5000, 76 significant voxels
e = 0.6000, h = 0.2000, 1147 significant voxels
e = 0.6000, h = 0.4000, 803 significant voxels
e = 0.6000, h = 1.0000, 232 significant voxels
e = 0.6000, h = 1.3000, 90 significant voxels
e = 0.6000, h = 0.7000, 493 significant voxels
e = 0.6000, h = 1.4000, 38 significant voxels
e = 0.6000, h = 0.8000, 413 significant voxels
e = 0.6000, h = 0.9000, 339 significant voxels
e = 0.6000, h = 0.0000, 1520 significant voxels
e = 0.6000, h = 0.3000, 940 significant voxels
e = 0.7000, h = 0.1000, 2863 significant voxels
e = 0.7000, h = 0.3000, 2525 significant voxels
e = 0.7000, h = 0.0000, 3016 significant voxels
e = 0.7000, h = 0.2000, 2702 significant voxels
e = 0.6000, h = 0.1000, 1336 significant voxels
e = 0.6000, h = 1.2000, 134 significant voxels
e = 0.6000, h = 1.6000, 1 significant voxels
e = 0.6000, h = 0.5000, 698 significant voxels
e = 0.7000, h = 0.4000, 2286 significant voxels
e = 0.6000, h = 0.6000, 603 significant voxels
e = 0.6000, h = 1.5000, 14 significant voxels
e = 0.6000, h = 1.1000, 165 significant voxels
e = 0.7000, h = 0.5000, 2054 significant voxels
e = 0.7000, h = 0.6000, 1838 significant voxels
e = 0.7000, h = 1.1000, 932 significant voxels
e = 0.7000, h = 1.3000, 689 significant voxels
e = 0.7000, h = 0.7000, 1644 significant voxels
e = 0.7000, h = 1.4000, 607 significant voxels
e = 0.7000, h = 1.0000, 1079 significant voxels
e = 0.7000, h = 1.2000, 793 significant voxels
e = 0.7000, h = 0.8000, 1451 significant voxels
e = 0.7000, h = 1.8000, 243 significant voxels
e = 0.7000, h = 0.9000, 1294 significant voxels
e = 0.8000, h = 0.5000, 3504 significant voxels
e = 0.8000, h = 0.0000, 4316 significant voxels
e = 0.7000, h = 1.9000, 169 significant voxels
e = 0.7000, h = 1.5000, 519 significant voxels
e = 0.8000, h = 0.6000, 3203 significant voxels
